league,year,h_a,xG,xGA,deep,deep_allowed,ppda_coef,oppda_coef
Bundesliga,2015,a,0.732627,1.64388,5,7,7.842105263157895,8.583333333333334
Bundesliga,2019,a,1.01536,2.0112,7,14,21.0,11.866666666666667
EPL,2017,h,1.53244,1.48964,5,3,18.466666666666665,7.761904761904762
Ligue_1,2016,a,0.741991,1.77041,3,10,13.708333333333334,7.166666666666667
EPL,2017,h,0.835241,0.829699,12,6,4.827586206896552,19.133333333333333
EPL,2019,h,0.51376,1.27826,4,5,14.947368421052632,17.181818181818183
Serie_A,2019,h,0.994717,1.824,9,14,13.75,12.68421052631579
Serie_A,2014,h,2.62344,1.22043,11,2,15.11111111111111,13.11111111111111
Bundesliga,2015,h,0.807709,1.81814,2,5,6.35,7.285714285714286
Bundesliga,2017,a,1.22103,1.50613,8,2,9.26923076923077,9.875
Bundesliga,2017,a,0.362892,1.32144,9,6,6.566666666666666,7.8
Serie_A,2015,a,0.690699,0.719009,1,4,6.4523809523809526,7.085714285714285
Ligue_1,2016,a,0.745738,0.878057,4,5,11.91304347826087,9.791666666666666
La_liga,2016,a,0.291369,1.51524,0,6,8.166666666666666,8.666666666666666
La_liga,2019,a,1.1436,0.233721,2,2,6.5,13.933333333333334
EPL,2019,h,1.58495,1.98271,4,14,17.23076923076923,5.461538461538462
Ligue_1,2015,h,1.09533,1.53278,3,5,8.233333333333333,5.451612903225806
Ligue_1,2015,h,1.46766,1.53435,4,4,9.23076923076923,19.307692307692307
EPL,2019,h,1.05876,0.500726,11,5,9.375,17.125
Ligue_1,2016,h,0.704696,1.16856,0,1,11.423076923076923,11.03225806451613
Bundesliga,2015,a,1.16619,1.83746,6,7,9.692307692307692,10.419354838709678
Bundesliga,2018,a,0.798948,2.59785,6,14,8.428571428571429,16.72
Ligue_1,2014,h,1.9684,0.0802175,3,2,11.366666666666667,8.11111111111111
EPL,2017,a,0.634996,0.420891,2,4,12.166666666666666,7.791666666666667
Serie_A,2016,h,1.33563,1.13075,4,4,6.0256410256410255,3.85
EPL,2016,a,0.132913,0.807128,3,3,4.918918918918919,6.487179487179487
Serie_A,2015,h,1.54404,0.375662,3,3,7.967741935483871,18.33333333333333
Serie_A,2017,h,0.514302,0.653818,4,9,19.6,5.636363636363637
La_liga,2018,a,4.09404,0.502361,9,7,13.25,30.785714285714285
La_liga,2016,h,1.27123,1.2781,8,4,4.551020408163265,12.842105263157896
Ligue_1,2018,h,1.01568,0.469098,10,1,11.5,23.2
EPL,2017,h,0.546613,1.25546,5,6,5.448275862068965,20.88235294117647
EPL,2018,h,2.40631,1.55962,12,5,5.0,13.44
Serie_A,2015,a,1.51699,1.61912,7,7,7.190476190476191,12.375
